Table Name,Field Name,Field Type,Field Description
AADManagedIdentitySignInLogs,AADTenantId,string,The AADTenantId GUID that's associated with the logs
AADManagedIdentitySignInLogs,Agent,string,Details of agentic sign-in.
AADManagedIdentitySignInLogs,AppId,string,Unique GUID representing the app ID in the Azure Active Directory
AADManagedIdentitySignInLogs,AppOwnerTenantId,string,The tenant identifier of the owenr of the application in Azure Active Directory
AADManagedIdentitySignInLogs,AuthenticationContextClassReferences,string,The authentication contexts of the sign-in
AADManagedIdentitySignInLogs,AuthenticationProcessingDetails,string,Provides the details associated with authentication processor
AADManagedIdentitySignInLogs,_BilledSize,real,The record size in bytes
AADManagedIdentitySignInLogs,Category,string,Category of the sign-in event
AADManagedIdentitySignInLogs,ClientCredentialType,string,
AADManagedIdentitySignInLogs,ConditionalAccessAudiences,string,Details of the conditional access audiences being applied for the sign-in.
AADManagedIdentitySignInLogs,ConditionalAccessPolicies,string,Details of the conditional access policies being applied for the sign-in
AADManagedIdentitySignInLogs,ConditionalAccessStatus,string,Status of all the conditionalAccess policies related to the sign-in
AADManagedIdentitySignInLogs,CorrelationId,string,ID to provide sign-in trail
AADManagedIdentitySignInLogs,CreatedDateTime,datetime,Datetime of the sign-in activity.
AADManagedIdentitySignInLogs,DurationMs,long,The duration of the operation in milliseconds
AADManagedIdentitySignInLogs,FederatedCredentialId,string,Th identifier of an application's federated identity credential if a federated identity credential was used to sign in.
AADManagedIdentitySignInLogs,Id,string,Unique ID representing the sign-in activity
AADManagedIdentitySignInLogs,Identity,string,"The identity from the token that was presented when you made the request. It can be a user account, system account, or service principal"
AADManagedIdentitySignInLogs,IPAddress,string,IP address of the client used to sign in
AADManagedIdentitySignInLogs,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AADManagedIdentitySignInLogs,Level,string,The severity level of the event
AADManagedIdentitySignInLogs,Location,string,The region of the resource emitting the event
AADManagedIdentitySignInLogs,LocationDetails,string,Details of the sign-in location
AADManagedIdentitySignInLogs,ManagedServiceIdentity,string,Details of the Managed Service Identity used to Sign In.
AADManagedIdentitySignInLogs,NetworkLocationDetails,string,Provides the details associated with Authentication processor.
AADManagedIdentitySignInLogs,OperationName,string,"For sign-ins, this value is always Sign-in activity"
AADManagedIdentitySignInLogs,OperationVersion,string,The REST API version that's requested by the client
AADManagedIdentitySignInLogs,ResourceDisplayName,string,Name of the resource that the service principal signed into
AADManagedIdentitySignInLogs,ResourceGroup,string,Resource group for the logs
AADManagedIdentitySignInLogs,ResourceIdentity,string,ID of the resource that the service principal signed into
AADManagedIdentitySignInLogs,ResourceOwnerTenantId,string,The tenant identifier of the owner of the resource referenced in the sign in
AADManagedIdentitySignInLogs,ResourceServicePrincipalId,string,Service Principal Id of the resource
AADManagedIdentitySignInLogs,ResultDescription,string,Provides the error description for the sign-in operation
AADManagedIdentitySignInLogs,ResultSignature,string,"Contains the error code, if any, for the sign-in operation"
AADManagedIdentitySignInLogs,ResultType,string,The result of the sign-in operation can be Success or Failure
AADManagedIdentitySignInLogs,ServicePrincipalCredentialKeyId,string,Key id of the service principal that initiated the sign-in
AADManagedIdentitySignInLogs,ServicePrincipalCredentialThumbprint,string,Thumbprint of the service principal that initiated the sign-in
AADManagedIdentitySignInLogs,ServicePrincipalId,string,ID of the service principal who initiated the sign-in
AADManagedIdentitySignInLogs,ServicePrincipalName,string,Service Principal Name of the service principal who initiated the sign-in
AADManagedIdentitySignInLogs,SessionId,string,Id of the session that was generated during the signIn.
AADManagedIdentitySignInLogs,SourceAppClientId,string,The client ID of the application that initiated the sign-in
AADManagedIdentitySignInLogs,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AADManagedIdentitySignInLogs,TenantId,string,The Log Analytics workspace ID
AADManagedIdentitySignInLogs,TimeGenerated,datetime,The date and time of the event in UTC
AADManagedIdentitySignInLogs,Type,string,The name of the table
AADManagedIdentitySignInLogs,UniqueTokenIdentifier,string,Unique token identifier for the request
AADManagedIdentitySignInLogs,UserAgent,string,User Agent for the sign-in
AADNonInteractiveUserSignInLogs,AADTenantId,string,The AADTenantId GUID that's associated with the logs
AADNonInteractiveUserSignInLogs,Agent,string,Details of agentic sign-in.
AADNonInteractiveUserSignInLogs,AlternateSignInName,string,Provides the on-premises UPN of the user sign-ing into Azure AD.e.g. Phone number sign-in.
AADNonInteractiveUserSignInLogs,AppDisplayName,string,App name displayed in the Azure portal.
AADNonInteractiveUserSignInLogs,AppId,string,Unique GUID representing the app ID in the Azure Active Directory.
AADNonInteractiveUserSignInLogs,AppliedEventListeners,dynamic,"Detailed information about the applied event listeners or listeners that are triggered by the corresponding events in an authentication activity. It's called appliedEventListeners in ALP and MSGraph, but use Authentication Events to match name on UX."
AADNonInteractiveUserSignInLogs,AppOwnerTenantId,string,The tenant identifier of the owenr of the application in Azure Active Directory.
AADNonInteractiveUserSignInLogs,AuthenticationContextClassReferences,string,The authentication contexts of the sign-in.
AADNonInteractiveUserSignInLogs,AuthenticationDetails,string,A record of each step of authentication undertaken in the sign-in.
AADNonInteractiveUserSignInLogs,AuthenticationMethodsUsed,string,List of authentication methods used.
